Crop_Type,Soil_Type,Soil_pH,Soil_Organic_Carbon,Total_Nitrogen,Available_Phosphorus,Available_Potassium,Bulk_Density,Rainfall,Temperature,Humidity,Wind_Speed,Evapotranspiration,Soil_Moisture_Level,Growth_Stage,Fertilizer_Type,Fertilizer_Treatment,Application_Rate,Application_Method,Coating_Type,Irrigation_Type,Water_Amount,Total_Fertilizer_Loss_kg_ha,Fertilizer_Loss_Percentage,Nitrogen_Loss,Phosphorus_Loss,Potassium_Loss
Citrus,Sandy,7.06,2.46,222.8,44.3,314.76,1.53,57.07,37.47,51.49,4,4.93,Low,Initial,Urea,CF,72.56,Foliar,Normal,Flood,68.46,38.96,53.69,19.48,11.69,7.79
Vegetable,Sandy,8.39,1.3,139.22,48.79,170.3,1.35,76.07,29.77,78.3,5.21,2.41,High,Initial,NK,OF,198.86,Drip,Controlled_Release,Sprinkler,40.62,66.44,33.41,33.22,19.93,13.29
Corn,Loamy,6.35,1.13,144.2,13.77,325.65,1.15,56.57,28.47,78.38,3.68,7.72,High,Mid,NPK,CF,133.81,Foliar,Normal,Sprinkler,69.87,60.37,45.12,30.18,18.11,12.07
Vegetable,Loamy,7.78,1.34,77.47,46.86,335.65,1.56,49.52,29.88,92.83,3.1,7.31,High,Initial,NK,OF,96.18,Foliar,Normal,Sprinkler,74.32,46.84,48.7,23.42,14.05,9.37
Vegetable,Sandy,7.22,0.73,296.02,33.51,396.88,1.29,76.41,33.82,86.95,4.2,5.62,Low,Late,NPK,OF,92.85,Foliar,Normal,Drip,10.06,50.5,54.39,25.25,15.15,10.1
Wheat,Loamy,7.6,0.89,203.06,55.52,201.31,1.39,106.58,15.35,86.62,5.8,4.92,High,Late,NPK,CF,175.15,Foliar,Controlled_Release,Sprinkler,14.03,74.76,42.68,37.38,22.43,14.95
Corn,Sandy,6.75,1.52,182.58,55.05,216.53,1.57,79.52,29.59,89.61,2.62,5.48,Low,Initial,Urea,CF,126.82,Drip,Biochar,Sprinkler,20.53,56.67,44.69,28.34,17,11.33
Corn,Loamy,6.34,2.1,102.84,59.79,324.01,1.25,74.89,36.42,74.37,5.78,6.82,High,Initial,NK,CF,75.79,Foliar,Normal,Drip,38.29,49.02,64.68,24.51,14.71,9.8
Corn,Clay,7.14,2.25,172.01,37.94,353.79,1.19,89.41,24.19,66.28,5.1,5.85,High,Mid,Urea,OF,120.19,Drip,Biochar,Drip,58.84,53.8,44.76,26.9,16.14,10.76
Vegetable,Sandy,6.62,2.23,161.83,17.34,226.83,1.53,48.48,19.91,42.63,3.05,2.58,Medium,Mid,NK,CF,143.18,Drip,Normal,Flood,11.68,48.69,34.01,24.34,14.61,9.74
